longitude,latitude,type,
116606405,39921900,3,
116288030,39860227,4,
116505050,40009002,0,
116389733,39938238,1,
116847460,40421938,4,
116212333,40117422,0,
116631282,40324660,4,
116402285,39938520,3,
116354802,40098212,2,
116460648,40018542,1,
116460140,39970918,1,
116074083,39945273,0,
116396810,39911873,2,
116503157,39642272,0,
116359227,39853913,1,
116342628,39754140,2,
116106312,39757162,0,
116509455,39911547,3,
116270192,39895827,2,
116241760,39844832,0,
116472418,39921593,0,
116080867,40232272,2,
116094768,39737632,4,
116092783,39931250,1,
116319545,39966217,0,
116199120,39664495,4,
116499865,40005175,1,
116405353,39905230,0,
116375342,39975428,4,
116271270,40025470,1,
116251960,40125850,1,
116438893,39855988,0,
116460328,40019105,1,
116324963,39984390,4,
116231198,39671307,2,
116749700,40112212,1,
116846085,40386940,4,
116454548,39932390,2,
116954907,40289382,2,
116044523,39724905,0,
116076200,39944940,1,
116701372,40039467,3,
116434095,39966917,1,
116659417,39910843,2,
116340200,39904815,2,
116363250,40008322,0,
116105252,39935285,3,
116325612,39883673,3,
116343635,40029433,0,
116368527,39966693,4,
116350150,39939305,4,
116291398,39957615,0,
116244587,39928342,1,
116303892,39908198,1,
116192502,40172000,2,
116217730,40140925,4,
116345257,39878387,4,
116385583,39940038,2,
116849247,40367898,4,
116223762,39971838,4,
116315170,39483462,4,
116239895,40119957,0,
116318683,40048928,1,
116243735,39918743,4,
116480157,39923327,3,
116107717,39661528,3,
116426420,39857463,0,
116509592,40011635,2,
116185233,39935553,2,
116633672,39900175,1,
116497615,40001025,0,
116300333,39975302,1,
116319128,39753853,2,
116118953,39771030,1,
116319647,39931658,0,
116279148,40107635,0,
116341978,39966563,3,
116424227,39958188,0,
115970483,40455482,1,
116218823,39895757,4,
116719627,39645325,2,
116285485,39895823,4,
116288280,39944237,4,
116704010,40051858,4,
116463148,39903515,1,
116194430,39660723,3,
116319262,39971342,0,
116479007,40096150,1,
115877238,39561463,2,
116316510,39729883,2,
116346350,39526463,0,
116390268,39929385,3,
116267478,39945472,1,
116110510,39960458,1,
116277597,39852602,0,
116347617,39586735,2,
116485912,39813995,3,
116415658,39857257,2,
116064678,39994932,4,
116353770,39861703,0,
116320512,39848127,0,
116367900,39864822,0,
116526253,40039118,2,
116093262,39967602,2,
116233507,40220440,3,
116449253,39883215,2,
116377573,39947693,0,
116500388,40016892,4,
116499917,40019977,4,
116216632,39734460,4,
116580620,40077217,3,
116342178,39830023,2,
116349687,39941852,4,
116297472,39926832,2,
115995247,39619458,1,
116342283,39714572,0,
116522040,40004252,2,
116468478,39857052,0,
116391350,39927072,4,
116461240,39882995,0,
116423740,39719693,3,
116222627,40049520,2,
116389310,39797365,2,
116304263,39906775,0,
116374183,39970377,1,
116690663,40413312,0,
115953407,40359652,1,
116427360,39947303,4,
116408460,39988710,3,
116228483,39897012,2,
116344050,39671635,4,
116581455,40105612,1,
116170428,39911525,2,
116225423,39846477,2,
116369012,39975227,3,
116263147,39715833,4,
116114967,39886368,1,
116204963,39836932,1,
116528400,39611558,0,
116327592,39928995,0,
116335260,40037522,3,
116404462,40034378,2,
115794770,40456070,4,
117004727,40061682,0,
116090700,39681823,2,
116368042,39898278,3,
116113053,40126342,3,
116455860,40081357,1,
116406963,40020975,2,
116669208,39877472,2,
116472247,39721597,0,
116286033,39651370,2,
116009268,39774057,0,
116373883,39980738,4,
116581627,40068785,4,
116275613,39845230,3,
117239018,40203978,4,
116352500,39949328,1,
116034200,39810845,0,
116351308,39867068,3,
116132583,39723272,3,
116503583,40264585,2,
116200488,40149212,3,
116255580,40083955,4,
116490965,39921950,2,
116757683,40033375,1,
116439190,39949382,2,
116164892,39743245,1,
116355110,39954920,0,
116292947,40053697,3,
116203587,39825422,0,
116268042,39896547,4,
116834917,40395938,0,
116451648,39911613,3,
116253388,40132597,1,
116385657,39970497,1,
116098250,39737995,1,
116854033,40382003,2,
116284113,40024388,4,
116370072,39916032,3,
116094200,39909910,3,
116565950,39899995,4,
116382453,39966895,0,
116203813,40034763,2,
116159770,40145615,0,
116181667,39908570,3,
117023587,40485438,3,
116367433,39913493,0,
115977405,39690055,3,
116400888,39811848,1,
116491817,40001072,2,
116407642,39860872,4,
116216842,39761645,4,
116076445,39967813,2,
116272028,40197167,3,
116321338,39887028,0,
116089117,39955363,1,
116087583,39842208,4,
116208657,40035192,0,
116077380,39967957,4,
114710337,41146270,1,
116323318,40123587,4,
116096947,40004787,1,
116477222,39868798,1,
116651565,39674347,0,
116237442,39856632,0,
116306780,39887560,0,
115937467,39685842,4,
116199200,40126097,1,
116384450,39951700,2,
116665117,39880780,3,
116408050,39851342,1,
116589602,40119243,1,
116549918,40099367,0,
116530167,39741098,4,
114710338,41146300,4,
116384450,39951700,2,
116589602,40119243,0,
116318683,40048928,1,
116589437,40119812,4,
114710338,41146313,2,
116358177,39985155,4,
116089037,39752897,3,
116474235,39846322,1,
116474235,39846322,1,
116031842,39632410,3,
116046630,39627927,0,
116410225,39844618,2,
116172103,39891100,4,
116369690,39852823,4,
116484312,39986820,2,
116456115,40081403,1,
116201873,39921392,1,
116726238,39952003,4,
116675743,39896113,4,
116188885,39639300,3,
116107002,39781372,2,
116350760,39947523,1,
116397412,39813465,0,
116252510,39853015,3,
116309110,40031933,3,
116384177,39638530,4,
116235307,39955593,1,
116365888,39879452,4,
116221467,39871905,3,
